date_range_start,date_range_end
2024-09-23,2024-09-30
2024-07-05,2024-09-22
2024-06-24,2024-07-04
2024-05-08,2024-06-23
2024-04-02,2024-05-07
2024-03-15,2024-04-01
2023-12-15,2024-03-14
2023-10-17,2023-12-14
2023-10-02,2023-10-16
2023-09-15,2023-10-01
2023-08-24,2023-09-14
2023-06-20,2023-08-23
2023-05-03,2023-06-19
2023-03-17,2023-05-02
2023-03-14,2023-03-16
2023-01-04,2023-03-13
2022-12-21,2023-01-03
2022-12-20,2022-12-20
2022-10-31,2022-12-19
2022-10-11,2022-10-30
2022-09-30,2022-10-10
2022-09-16,2022-09-29
2022-06-17,2022-09-15
2022-06-07,2022-06-16
2022-04-11,2022-06-06
2022-04-01,2022-04-10
2022-02-25,2022-03-31
2022-02-14,2022-02-24
2022-02-02,2022-02-13
2021-12-17,2022-02-01
2021-12-13,2021-12-16
2021-09-17,2021-12-12
2021-08-27,2021-09-16
2021-07-20,2021-08-26
2021-06-03,2021-07-19
2021-05-13,2021-06-02
2021-04-19,2021-05-12
2021-03-19,2021-04-18
2021-02-11,2021-03-18
2021-01-20,2021-02-10
2021-01-06,2021-01-19
2020-12-18,2021-01-05
2020-10-09,2020-12-17
2020-10-06,2020-10-08
2020-09-18,2020-10-05
2020-06-19,2020-09-17
2020-05-21,2020-06-18
2020-05-11,2020-05-20
2020-04-06,2020-05-10
2020-03-02,2020-04-05
2020-01-27,2020-03-01
2019-12-20,2020-01-26
2019-12-06,2019-12-19
2019-12-04,2019-12-05
2019-11-20,2019-12-03
2019-10-02,2019-11-19
2019-09-25,2019-10-01
2019-09-20,2019-09-24
2019-08-08,2019-09-19
2019-07-12,2019-08-07
2019-06-28,2019-07-11
2019-06-06,2019-06-27
2019-06-03,2019-06-05
2019-05-31,2019-06-02
2019-04-02,2019-05-30
2019-02-26,2019-04-01
2019-02-14,2019-02-25
2019-01-17,2019-02-13
2018-12-31,2019-01-16
2018-12-21,2018-12-30
2018-11-30,2018-12-20
2018-11-12,2018-11-29
2018-11-05,2018-11-11
2018-10-10,2018-11-04
2018-09-28,2018-10-09
2018-09-14,2018-09-27
2018-08-27,2018-09-13
2018-06-29,2018-08-26
2018-06-19,2018-06-28
2018-06-15,2018-06-18
2018-06-06,2018-06-14
2018-06-04,2018-06-05
2018-05-30,2018-06-03
2018-04-03,2018-05-29
2018-03-19,2018-04-02
2018-03-06,2018-03-18
2017-12-28,2018-03-05
2017-10-12,2017-12-27
2017-09-18,2017-10-11
2017-09-01,2017-09-17
2017-08-31,2017-08-31
2017-08-28,2017-08-30
2017-08-07,2017-08-27
2017-07-25,2017-08-06
2017-06-19,2017-07-24
2017-06-01,2017-06-18
2017-04-04,2017-05-31
2017-04-03,2017-04-03
2017-03-20,2017-04-02
2017-03-19,2017-03-19
2017-03-15,2017-03-18
2017-03-13,2017-03-14
2017-03-01,2017-03-12
2017-02-28,2017-02-28
2017-02-27,2017-02-27
2017-01-04,2017-02-26
2016-12-01,2017-01-03
2016-11-01,2016-11-30
2016-09-30,2016-10-31
2016-09-22,2016-09-29
2016-09-07,2016-09-21
2016-09-06,2016-09-06
2016-07-05,2016-09-05
2016-06-30,2016-07-04
2016-06-23,2016-06-29
2016-06-02,2016-06-22
2016-05-27,2016-06-01
2016-05-20,2016-05-26
2016-05-17,2016-05-19
2016-05-12,2016-05-16
