"date","expected_num_constituents","num_actual_constituents","available_data_prop"
"1998-01-02","514","453","0.881"
"1998-01-05","514","454","0.883"
"1998-01-06","514","454","0.883"
"1998-01-07","514","454","0.883"
"1998-01-08","514","454","0.883"
"1998-01-09","514","455","0.885"
"1998-01-12","514","454","0.883"
"1998-01-13","514","454","0.883"
"1998-01-14","514","454","0.883"
"1998-01-15","514","454","0.883"
"1998-01-16","514","455","0.885"
"1998-01-20","514","455","0.885"
"1998-01-21","514","455","0.885"
"1998-01-22","514","455","0.885"
"1998-01-23","514","455","0.885"
"1998-01-26","514","455","0.885"
"1998-01-27","514","456","0.887"
"1998-01-28","514","455","0.885"
"1998-01-29","514","456","0.887"
"1998-01-30","514","455","0.885"
"1998-02-02","514","455","0.885"
"1998-02-03","514","455","0.885"
"1998-02-04","514","455","0.885"
"1998-02-05","514","455","0.885"
"1998-02-06","514","455","0.885"
"1998-02-09","514","455","0.885"
"1998-02-10","514","455","0.885"
"1998-02-11","514","455","0.885"
"1998-02-12","514","454","0.883"
"1998-02-13","514","454","0.883"
"1998-02-17","514","454","0.883"
"1998-02-18","514","454","0.883"
"1998-02-19","514","454","0.883"
"1998-02-20","514","455","0.885"
"1998-02-23","514","454","0.883"
"1998-02-24","514","454","0.883"
"1998-02-25","514","454","0.883"
"1998-02-26","514","454","0.883"
"1998-02-27","514","454","0.883"
"1998-03-02","514","454","0.883"
"1998-03-03","514","454","0.883"
"1998-03-04","514","454","0.883"
"1998-03-05","514","454","0.883"
"1998-03-06","514","454","0.883"
"1998-03-09","514","454","0.883"
"1998-03-10","514","454","0.883"
"1998-03-11","514","455","0.885"
"1998-03-12","514","455","0.885"
"1998-03-13","514","455","0.885"
"1998-03-16","514","455","0.885"
"1998-03-17","514","455","0.885"
"1998-03-18","514","455","0.885"
"1998-03-19","514","455","0.885"
"1998-03-20","514","455","0.885"
"1998-03-23","514","455","0.885"
"1998-03-24","514","455","0.885"
"1998-03-25","514","455","0.885"
"1998-03-26","514","455","0.885"
"1998-03-27","514","455","0.885"
"1998-03-30","514","456","0.887"
"1998-03-31","514","457","0.889"
"1998-04-01","514","455","0.885"
"1998-04-02","514","455","0.885"
"1998-04-03","514","455","0.885"
"1998-04-06","514","455","0.885"
"1998-04-07","514","455","0.885"
"1998-04-08","514","454","0.883"
"1998-04-09","514","454","0.883"
"1998-04-13","514","454","0.883"
"1998-04-14","514","454","0.883"
"1998-04-15","514","454","0.883"
"1998-04-16","514","454","0.883"
"1998-04-17","514","454","0.883"
"1998-04-20","514","454","0.883"
"1998-04-21","514","454","0.883"
"1998-04-22","514","454","0.883"
"1998-04-23","514","454","0.883"
"1998-04-24","514","455","0.885"
"1998-04-27","514","454","0.883"
"1998-04-28","514","455","0.885"
"1998-04-29","514","454","0.883"
"1998-04-30","514","454","0.883"
"1998-05-01","514","454","0.883"
"1998-05-04","514","454","0.883"
"1998-05-05","514","454","0.883"
"1998-05-06","514","454","0.883"
"1998-05-07","514","454","0.883"
"1998-05-08","514","455","0.885"
"1998-05-11","514","454","0.883"
"1998-05-12","514","454","0.883"
"1998-05-13","514","454","0.883"
"1998-05-14","514","454","0.883"
"1998-05-15","514","454","0.883"
"1998-05-18","514","454","0.883"
"1998-05-19","514","454","0.883"
"1998-05-20","514","454","0.883"
"1998-05-21","514","454","0.883"
"1998-05-22","514","454","0.883"
"1998-05-26","514","454","0.883"
"1998-05-27","514","454","0.883"
"1998-05-28","514","454","0.883"
"1998-05-29","514","454","0.883"
"1998-06-01","514","454","0.883"
"1998-06-02","514","454","0.883"
"1998-06-03","514","454","0.883"
"1998-06-04","514","454","0.883"
"1998-06-05","514","454","0.883"
"1998-06-08","514","454","0.883"
"1998-06-09","514","454","0.883"
"1998-06-10","514","454","0.883"
"1998-06-11","514","455","0.885"
"1998-06-12","514","454","0.883"
"1998-06-15","514","454","0.883"
"1998-06-16","514","454","0.883"
"1998-06-17","514","454","0.883"
"1998-06-18","514","454","0.883"
"1998-06-19","514","454","0.883"
"1998-06-22","514","454","0.883"
"1998-06-23","514","454","0.883"
"1998-06-24","514","454","0.883"
"1998-06-25","514","454","0.883"
"1998-06-26","514","454","0.883"
"1998-06-29","514","454","0.883"
"1998-06-30","514","457","0.889"
"1998-07-01","514","454","0.883"
"1998-07-02","514","454","0.883"
"1998-07-06","514","454","0.883"
"1998-07-07","514","454","0.883"
"1998-07-08","514","454","0.883"
"1998-07-09","514","455","0.885"
"1998-07-10","514","454","0.883"
"1998-07-13","514","454","0.883"
"1998-07-14","514","454","0.883"
"1998-07-15","514","454","0.883"
"1998-07-16","514","454","0.883"
"1998-07-17","514","453","0.881"
"1998-07-20","514","453","0.881"
"1998-07-21","514","453","0.881"
"1998-07-22","514","453","0.881"
"1998-07-23","514","453","0.881"
"1998-07-24","514","453","0.881"
"1998-07-27","514","453","0.881"
"1998-07-28","514","453","0.881"
"1998-07-29","514","453","0.881"
"1998-07-30","514","453","0.881"
"1998-07-31","514","453","0.881"
"1998-08-03","514","453","0.881"
"1998-08-04","514","453","0.881"
"1998-08-05","514","453","0.881"
"1998-08-06","514","453","0.881"
"1998-08-07","514","453","0.881"
"1998-08-10","514","454","0.883"
"1998-08-11","514","454","0.883"
"1998-08-12","514","453","0.881"
"1998-08-13","514","454","0.883"
"1998-08-14","514","453","0.881"
"1998-08-17","514","453","0.881"
"1998-08-18","514","453","0.881"
"1998-08-19","514","453","0.881"
"1998-08-20","514","453","0.881"
"1998-08-21","514","453","0.881"
"1998-08-24","514","453","0.881"
"1998-08-25","514","453","0.881"
"1998-08-26","514","453","0.881"
"1998-08-27","514","454","0.883"
"1998-08-28","514","453","0.881"
"1998-08-31","514","452","0.879"
"1998-09-01","514","452","0.879"
"1998-09-02","514","452","0.879"
"1998-09-03","514","452","0.879"
"1998-09-04","514","452","0.879"
"1998-09-08","514","452","0.879"
"1998-09-09","514","452","0.879"
"1998-09-10","514","452","0.879"
"1998-09-11","514","452","0.879"
"1998-09-14","514","452","0.879"
"1998-09-15","514","453","0.881"
"1998-09-16","514","452","0.879"
"1998-09-17","514","452","0.879"
"1998-09-18","514","452","0.879"
"1998-09-21","514","452","0.879"
"1998-09-22","514","452","0.879"
"1998-09-23","514","452","0.879"
"1998-09-24","514","452","0.879"
"1998-09-25","514","452","0.879"
"1998-09-28","514","452","0.879"
"1998-09-29","514","452","0.879"
"1998-09-30","514","454","0.883"
"1998-10-01","514","455","0.885"
"1998-10-02","514","453","0.881"
"1998-10-05","514","453","0.881"
"1998-10-06","514","454","0.883"
"1998-10-07","514","455","0.885"
"1998-10-08","514","454","0.883"
"1998-10-09","514","454","0.883"
"1998-10-12","514","454","0.883"
"1998-10-13","514","454","0.883"
"1998-10-14","514","454","0.883"
"1998-10-15","514","454","0.883"
"1998-10-16","514","454","0.883"
"1998-10-19","514","454","0.883"
"1998-10-20","514","454","0.883"
"1998-10-21","514","454","0.883"
"1998-10-22","514","454","0.883"
"1998-10-23","514","454","0.883"
"1998-10-26","514","454","0.883"
"1998-10-27","514","454","0.883"
"1998-10-28","514","454","0.883"
"1998-10-29","514","454","0.883"
"1998-10-30","514","454","0.883"
"1998-11-02","514","454","0.883"
"1998-11-03","514","455","0.885"
"1998-11-04","514","455","0.885"
"1998-11-05","514","455","0.885"
"1998-11-06","514","455","0.885"
"1998-11-09","514","455","0.885"
"1998-11-10","514","455","0.885"
"1998-11-11","514","455","0.885"
"1998-11-12","513","457","0.891"
"1998-11-13","513","455","0.887"
"1998-11-16","513","455","0.887"
"1998-11-17","513","456","0.889"
"1998-11-18","513","455","0.887"
"1998-11-19","513","455","0.887"
"1998-11-20","513","455","0.887"
"1998-11-23","513","455","0.887"
"1998-11-24","513","454","0.885"
"1998-11-25","513","454","0.885"
"1998-11-27","513","454","0.885"
"1998-11-30","513","454","0.885"
"1998-12-01","513","454","0.885"
"1998-12-02","513","454","0.885"
"1998-12-03","513","454","0.885"
"1998-12-04","513","454","0.885"
"1998-12-07","513","454","0.885"
"1998-12-08","513","454","0.885"
"1998-12-09","513","454","0.885"
"1998-12-10","513","454","0.885"
"1998-12-11","513","454","0.885"
"1998-12-14","513","454","0.885"
"1998-12-15","513","454","0.885"
"1998-12-16","513","454","0.885"
"1998-12-17","513","454","0.885"
"1998-12-18","513","454","0.885"
"1998-12-21","513","455","0.887"
"1998-12-22","513","454","0.885"
"1998-12-23","513","454","0.885"
"1998-12-24","513","453","0.883"
"1998-12-28","513","454","0.885"
"1998-12-29","513","454","0.885"
"1998-12-30","513","455","0.887"
"1998-12-31","513","458","0.893"
"1999-01-04","513","456","0.889"
"1999-01-05","513","456","0.889"
"1999-01-06","513","456","0.889"
"1999-01-07","513","456","0.889"
"1999-01-08","513","456","0.889"
"1999-01-11","513","456","0.889"
"1999-01-12","513","457","0.891"
"1999-01-13","513","456","0.889"
"1999-01-14","513","456","0.889"
"1999-01-15","513","456","0.889"
"1999-01-19","513","456","0.889"
"1999-01-20","513","456","0.889"
"1999-01-21","513","456","0.889"
"1999-01-22","513","456","0.889"
"1999-01-25","513","456","0.889"
"1999-01-26","513","456","0.889"
"1999-01-27","513","456","0.889"
"1999-01-28","513","456","0.889"
"1999-01-29","513","456","0.889"
"1999-02-01","513","456","0.889"
"1999-02-02","513","456","0.889"
"1999-02-03","513","456","0.889"
"1999-02-04","513","456","0.889"
"1999-02-05","513","456","0.889"
"1999-02-08","513","456","0.889"
"1999-02-09","513","456","0.889"
"1999-02-10","513","456","0.889"
"1999-02-11","513","456","0.889"
"1999-02-12","513","456","0.889"
"1999-02-16","513","456","0.889"
"1999-02-17","513","456","0.889"
"1999-02-18","513","456","0.889"
"1999-02-19","513","456","0.889"
"1999-02-22","513","456","0.889"
"1999-02-23","513","456","0.889"
"1999-02-24","513","456","0.889"
"1999-02-25","513","456","0.889"
"1999-02-26","513","457","0.891"
"1999-03-01","513","456","0.889"
"1999-03-02","513","456","0.889"
"1999-03-03","513","456","0.889"
"1999-03-04","513","456","0.889"
"1999-03-05","513","456","0.889"
"1999-03-08","513","456","0.889"
"1999-03-09","513","457","0.891"
"1999-03-10","513","457","0.891"
"1999-03-11","513","457","0.891"
"1999-03-12","513","457","0.891"
"1999-03-15","513","457","0.891"
"1999-03-16","513","457","0.891"
"1999-03-17","513","457","0.891"
"1999-03-18","513","458","0.893"
"1999-03-19","513","458","0.893"
"1999-03-22","513","458","0.893"
"1999-03-23","513","458","0.893"
"1999-03-24","513","459","0.895"
"1999-03-25","513","458","0.893"
"1999-03-26","513","458","0.893"
"1999-03-29","513","458","0.893"
"1999-03-30","513","458","0.893"
"1999-03-31","513","459","0.895"
"1999-04-01","513","459","0.895"
"1999-04-05","513","458","0.893"
"1999-04-06","513","458","0.893"
"1999-04-07","513","458","0.893"
"1999-04-08","513","458","0.893"
"1999-04-09","513","460","0.897"
"1999-04-12","513","459","0.895"
"1999-04-13","513","459","0.895"
"1999-04-14","513","459","0.895"
"1999-04-15","513","459","0.895"
"1999-04-16","513","459","0.895"
"1999-04-19","513","459","0.895"
"1999-04-20","513","459","0.895"
"1999-04-21","513","459","0.895"
"1999-04-22","513","459","0.895"
"1999-04-23","513","459","0.895"
