"date","calculated_market_cap","expected_market_cap","sp500_market_cap_calc_ratio","available_data_prop"
"2025-12-31","65890092050472.00","58000000000000.00","1.136","1.000"
"2025-12-30","66361083656046.00","58429905777518.08","1.136","1.000"
"2025-12-29","66440402224464.00","58510396610912.28","1.136","1.000"
"2025-12-26","66658190727643.00","58715436418084.88","1.135","1.000"
"2025-12-24","66690245668575.00","58733313855817.70","1.135","1.000"
"2025-12-23","66489413221208.00","58544711124096.12","1.136","1.000"
"2025-12-22","66185645981708.00","58279515009860.49","1.136","1.006"
"2025-12-19","65572969904219.00","57906800087648.82","1.132","1.000"
"2025-12-18","64983898350663.00","57400639836388.88","1.132","1.000"
"2025-12-17","64426995616480.00","56948789715871.74","1.131","1.000"
"2025-12-16","65270544409613.00","57616694178657.52","1.133","1.000"
"2025-12-15","65430674669270.00","57754375867358.12","1.133","1.000"
"2025-12-12","65518185926654.00","57846728507778.84","1.133","1.000"
"2025-12-11","66208567409590.00","58470235921408.23","1.132","1.000"
"2025-12-10","66174653515962.00","58348906580965.60","1.134","1.000"
"2025-12-09","65729065979064.00","57957721130669.79","1.134","1.000"
"2025-12-08","65727443780182.00","58008557446497.70","1.133","1.000"
"2025-12-05","66056054740436.00","58210970710685.85","1.135","1.000"
"2025-12-04","65884033923513.00","58098452998320.06","1.134","1.000"
"2025-12-03","65829218565391.00","58035754875465.64","1.134","1.000"
"2025-12-02","65581250989463.00","57863335037615.95","1.133","1.000"
"2025-12-01","65417334961182.00","57721501716456.07","1.133","1.000"
"2025-11-28","65817812685041.00","58030417062303.70","1.134","1.000"
"2025-11-26","65459950489996.00","57721332262069.97","1.134","1.000"
"2025-11-25","65074936736421.00","57325402088963.55","1.135","1.000"
"2025-11-24","64450271858531.00","56810599664012.86","1.134","1.000"
"2025-11-21","63288831097102.00","55945280841428.68","1.131","1.000"
"2025-11-20","62593994467056.00","55401078080490.84","1.130","1.000"
"2025-11-19","63543298748222.00","56277157256591.92","1.129","1.000"
"2025-11-18","63207376816777.00","56066694909064.35","1.127","1.000"
"2025-11-17","63705770729152.00","56533457015557.66","1.127","1.000"
"2025-11-14","64156786904947.00","57056223796654.73","1.124","1.000"
"2025-11-13","64216816974377.00","57084861587904.46","1.125","1.000"
"2025-11-12","65350944111991.00","58045922138631.22","1.126","1.000"
"2025-11-11","65394728590228.00","58009404718428.16","1.127","1.000"
"2025-11-10","65249607996765.00","57889261558688.20","1.127","1.000"
"2025-11-07","64191305464737.00","57011233657147.03","1.126","1.000"
"2025-11-06","64188127798834.00","56939384997443.58","1.127","1.000"
"2025-11-05","64871677839982.00","57583057483018.04","1.127","1.000"
"2025-11-04","64559906777688.00","57373442407420.94","1.125","1.002"
"2025-11-03","65357603325380.00","58054818493901.11","1.126","1.002"
"2025-10-31","65216148541198.00","57955094587685.34","1.125","1.002"
"2025-10-30","64991275467088.00","57803771820904.25","1.124","1.000"
"2025-10-29","65553474055073.00","58382034913446.80","1.123","1.000"
"2025-10-28","65480715435149.00","58384576729238.19","1.122","1.000"
"2025-10-27","65388533396467.00","58251300854576.00","1.123","1.000"
"2025-10-24","64554410261166.00","57544082974216.64","1.122","1.000"
"2025-10-23","63987442848393.00","57092910671243.88","1.121","1.000"
"2025-10-22","63613557492365.00","56762135709590.24","1.121","1.000"
"2025-10-21","63914631840563.00","57066729968592.51","1.120","1.000"
"2025-10-20","64002418260306.00","57064865970345.48","1.122","1.000"
"2025-10-17","63349703726823.00","56462286173398.59","1.122","1.000"
"2025-10-16","63042763713089.00","56166249360894.02","1.122","1.000"
"2025-10-15","63419241435429.00","56522018844496.39","1.122","1.000"
"2025-10-14","63091194086678.00","56295373603096.93","1.121","1.000"
"2025-10-13","63149573632418.00","56383574611058.37","1.120","1.000"
"2025-10-10","62138726234771.00","55517577970929.81","1.119","1.000"
"2025-10-09","63834811055792.00","57064696515959.39","1.119","1.000"
"2025-10-08","64039350351961.00","57222373822218.98","1.119","1.000"
"2025-10-07","63699820856928.00","56890836315827.92","1.120","1.000"
"2025-10-06","63996491543898.00","57108500474764.45","1.121","1.000"
