"date","index","ticker","market_cap","company_name","sp500_total_market_cap","proportion_sp500","expected_num_constituents","num_actual_constituents","available_data_prop"
"2025-11-03","317","NVDA","5040838080000.00","NVIDIA Corporation","65357603325380.00","0.077","503","504","1.002"
"2025-10-29","317","NVDA","5044736640000.00","NVIDIA Corporation","65553474055073.00","0.077","503","503","1.000"
"2025-10-30","317","NVDA","4943617740000.00","NVIDIA Corporation","64991275467088.00","0.076","503","503","1.000"
"2025-10-31","317","NVDA","4933871340000.00","NVIDIA Corporation","65216148541198.00","0.076","503","504","1.002"
"2025-10-28","317","NVDA","4898296980000.00","NVIDIA Corporation","65480715435149.00","0.075","503","503","1.000"
"2023-06-30","415","AAPL","3068982865620.00","Apple Inc.","41093462038320.80","0.075","503","503","1.000"
"2025-11-04","317","NVDA","4841280540000.00","NVIDIA Corporation","64559906777688.00","0.075","503","504","1.002"
"2025-08-05","317","NVDA","4343483160000.00","NVIDIA Corporation","58878849210099.00","0.074","503","503","1.000"
"2025-08-06","317","NVDA","4371747719999.00","NVIDIA Corporation","59325387325056.00","0.074","503","503","1.000"
"2025-08-07","317","NVDA","4404641820000.00","NVIDIA Corporation","59268436465820.00","0.074","503","503","1.000"
"2025-08-08","317","NVDA","4451668200000.00","NVIDIA Corporation","59770532540813.00","0.074","503","503","1.000"
"2025-08-11","317","NVDA","4436073960000.00","NVIDIA Corporation","59638026331506.00","0.074","503","503","1.000"
"2023-06-29","415","AAPL","2999682742140.00","Apple Inc.","40696014855121.08","0.074","503","503","1.000"
"2025-08-12","317","NVDA","4462876560000.00","NVIDIA Corporation","60314250612698.00","0.074","503","503","1.000"
"2025-10-09","317","NVDA","4692160620000.00","NVIDIA Corporation","63834811055792.00","0.074","503","503","1.000"
"2025-08-18","317","NVDA","4434855660000.00","NVIDIA Corporation","60333523686208.00","0.074","503","503","1.000"
"2023-07-03","415","AAPL","3027145986920.00","Apple Inc.","41122711277072.23","0.074","503","503","1.000"
"2025-11-10","317","NVDA","4850052300000.00","NVIDIA Corporation","65249607996765.00","0.074","503","503","1.000"
"2023-07-06","415","AAPL","3016922330620.00","Apple Inc.","40742952836148.38","0.074","503","503","1.000"
"2023-07-07","415","AAPL","2999148897360.00","Apple Inc.","40616615842564.31","0.074","503","503","1.000"
"2023-06-28","415","AAPL","2994303280500.00","Apple Inc.","40540701825372.67","0.074","503","503","1.000"
"2025-08-04","317","NVDA","4385880000000.00","NVIDIA Corporation","59152033276285.00","0.074","503","503","1.000"
"1999-08-12","1005","SHEL","775865005610.00","Shell Plc Adr (Representing - )","10666067829031.57","0.073","513","464","0.904"
"2023-06-22","415","AAPL","2958703902000.00","Apple Inc.","40626808266918.48","0.073","503","503","1.000"
"2023-06-23","415","AAPL","2953640879280.00","Apple Inc.","40321831466805.98","0.073","503","503","1.000"
"2023-06-26","415","AAPL","2931331935420.00","Apple Inc.","40087628186572.90","0.073","503","503","1.000"
"2023-06-27","415","AAPL","2975475164760.00","Apple Inc.","40526661956084.99","0.073","503","503","1.000"
"2023-07-05","415","AAPL","3009372553660.00","Apple Inc.","41075163291300.93","0.073","503","503","1.000"
"2023-07-10","415","AAPL","2966590484220.00","Apple Inc.","40665124663545.94","0.073","503","503","1.000"
"2025-10-13","317","NVDA","4588605120000.00","NVIDIA Corporation","63149573632418.00","0.073","503","503","1.000"
"2023-06-01","415","AAPL","2849374255140.00","Apple Inc.","39112094950743.71","0.073","503","503","1.000"
"2023-08-02","415","AAPL","3029033431160.00","Apple Inc.","41709873854310.50","0.073","503","503","1.000"
"2025-08-27","317","NVDA","4424865600000.00","NVIDIA Corporation","60643578531467.00","0.073","503","503","1.000"
"2025-08-26","317","NVDA","4429007820000.00","NVIDIA Corporation","60508068846093.00","0.073","503","503","1.000"
"2025-08-25","317","NVDA","4381250460000.00","NVIDIA Corporation","60287979563328.00","0.073","503","503","1.000"
"2025-08-15","317","NVDA","4396844699999.00","NVIDIA Corporation","60349756678766.00","0.073","503","503","1.000"
"2025-08-14","317","NVDA","4435099320000.00","NVIDIA Corporation","60500904340602.00","0.073","503","503","1.000"
"2025-08-13","317","NVDA","4424621940000.00","NVIDIA Corporation","60464418398834.00","0.073","503","503","1.000"
"2025-08-01","317","NVDA","4232861520000.00","NVIDIA Corporation","58261437207409.00","0.073","503","503","1.000"
"2025-07-31","317","NVDA","4333980420000.00","NVIDIA Corporation","59220001249436.00","0.073","503","503","1.000"
"2025-07-30","317","NVDA","4368092820000.00","NVIDIA Corporation","59462152913494.00","0.073","503","503","1.000"
"2025-11-05","317","NVDA","4756486860000.00","NVIDIA Corporation","64871677839982.00","0.073","503","503","1.000"
"2023-08-01","415","AAPL","3076612754710.00","Apple Inc.","42306242071032.15","0.073","503","503","1.000"
"2023-07-31","415","AAPL","3089903507900.00","Apple Inc.","42431916268073.18","0.073","503","503","1.000"
"2023-07-28","415","AAPL","3080151712660.00","Apple Inc.","42393354422363.38","0.073","503","503","1.000"
"2023-07-26","415","AAPL","3059232539000.00","Apple Inc.","42196207678361.68","0.073","503","503","1.000"
"2023-07-20","415","AAPL","3037684217260.00","Apple Inc.","41793896881243.33","0.073","503","503","1.000"
"2023-07-19","415","AAPL","3068669760200.00","Apple Inc.","42115587841183.32","0.073","503","503","1.000"
"2023-07-17","415","AAPL","3051210900980.00","Apple Inc.","41776686102599.70","0.073","503","503","1.000"
"1999-08-11","1005","SHEL","764856505907.00","Shell Plc Adr (Representing - )","10669612494235.39","0.072","513","463","0.903"
"2023-08-03","415","AAPL","3006855961340.00","Apple Inc.","41618138542702.51","0.072","503","503","1.000"
"1999-08-09","1005","SHEL","764153835714.00","Shell Plc Adr (Representing - )","10613503591889.23","0.072","513","463","0.903"
"2025-11-12","317","NVDA","4722130800000.00","NVIDIA Corporation","65350944111991.00","0.072","503","503","1.000"
"2025-08-28","317","NVDA","4390022219999.00","NVIDIA Corporation","60972731249546.00","0.072","503","503","1.000"
"2023-07-18","415","AAPL","3047121438460.00","Apple Inc.","42042259558341.10","0.072","503","503","1.000"
"2023-07-27","415","AAPL","3039099800440.00","Apple Inc.","41953444563504.66","0.072","503","503","1.000"
"2025-11-14","317","NVDA","4633682220000.00","NVIDIA Corporation","64156786904947.00","0.072","503","503","1.000"
"2025-08-22","317","NVDA","4336904340000.00","NVIDIA Corporation","60503149658058.00","0.072","503","503","1.000"
"2025-08-21","317","NVDA","4263562679999.00","NVIDIA Corporation","59555696903662.00","0.072","503","503","1.000"
"2025-10-02","317","NVDA","4602493740000.00","NVIDIA Corporation","63715307869807.00","0.072","503","503","1.000"
"2025-10-03","317","NVDA","4571548920000.00","NVIDIA Corporation","63705357849905.00","0.072","503","503","1.000"
"2025-10-08","317","NVDA","4607854260000.00","NVIDIA Corporation","64039350351961.00","0.072","503","503","1.000"
"2023-05-16","415","AAPL","2722482248220.00","Apple Inc.","38074836597028.80","0.072","503","503","1.000"
"2023-06-21","415","AAPL","2910605186160.00","Apple Inc.","40442112704506.34","0.072","503","503","1.000"
"2023-07-25","415","AAPL","3045391281240.00","Apple Inc.","42101466919175.19","0.072","503","503","1.000"
"2025-10-10","317","NVDA","4462876560000.00","NVIDIA Corporation","62138726234771.00","0.072","503","503","1.000"
"2023-12-08","415","AAPL","3059775544720.00","Apple Inc.","42671153428190.02","0.072","503","503","1.000"
"2023-06-08","415","AAPL","2856968789220.00","Apple Inc.","39736162429285.75","0.072","503","503","1.000"
"2023-06-09","415","AAPL","2863139348160.00","Apple Inc.","39785486267447.36","0.072","503","503","1.000"
"2023-07-13","415","AAPL","2996946879080.00","Apple Inc.","41658344179248.05","0.072","503","503","1.000"
"2023-07-12","415","AAPL","2984835778540.00","Apple Inc.","41248547421304.60","0.072","503","503","1.000"
"2023-07-11","415","AAPL","2958254272160.00","Apple Inc.","40937768327713.15","0.072","503","503","1.000"
"2023-06-12","415","AAPL","2907915455340.00","Apple Inc.","40168158176150.20","0.072","503","503","1.000"
"2023-07-24","415","AAPL","3031707310500.00","Apple Inc.","41994589720631.93","0.072","503","503","1.000"
"2023-07-21","415","AAPL","3018967061880.00","Apple Inc.","41814746411826.18","0.072","503","503","1.000"
