"date","index","ticker","market_cap","company_name"
"1998-01-02","1005","SHEL","651492381314.00","Shell Plc Adr (Representing - )"
"1998-01-05","1005","SHEL","636033637051.00","Shell Plc Adr (Representing - )"
"1998-01-06","1005","SHEL","610503286678.00","Shell Plc Adr (Representing - )"
"1998-01-07","1005","SHEL","626547589436.00","Shell Plc Adr (Representing - )"
"1998-01-08","1005","SHEL","611908627066.00","Shell Plc Adr (Representing - )"
"1998-01-09","1005","SHEL","593639202028.00","Shell Plc Adr (Representing - )"
"1998-01-12","1005","SHEL","606053042118.00","Shell Plc Adr (Representing - )"
"1998-01-13","1005","SHEL","613431079152.00","Shell Plc Adr (Representing - )"
"1998-01-14","1005","SHEL","616358871626.00","Shell Plc Adr (Representing - )"
"1998-01-15","1005","SHEL","595044542415.00","Shell Plc Adr (Representing - )"
"1998-01-16","1005","SHEL","606053042118.00","Shell Plc Adr (Representing - )"
"1998-01-19","1066","DNB","5245937579.85","Dun & Bradstreet Holdings Inc"
"1998-01-20","1005","SHEL","608278164398.00","Shell Plc Adr (Representing - )"
"1998-01-21","1005","SHEL","608980834592.00","Shell Plc Adr (Representing - )"
"1998-01-22","1005","SHEL","594341872222.00","Shell Plc Adr (Representing - )"
"1998-01-23","1005","SHEL","587080946886.00","Shell Plc Adr (Representing - )"
"1998-01-26","1005","SHEL","595044542415.00","Shell Plc Adr (Representing - )"
"1998-01-27","1005","SHEL","611205956872.00","Shell Plc Adr (Representing - )"
"1998-01-28","1005","SHEL","608980834592.00","Shell Plc Adr (Representing - )"
"1998-01-29","1005","SHEL","608980834592.00","Shell Plc Adr (Representing - )"
"1998-01-30","1005","SHEL","600197457170.00","Shell Plc Adr (Representing - )"
"1998-02-02","1005","SHEL","621394674681.00","Shell Plc Adr (Representing - )"
"1998-02-03","1005","SHEL","618466882207.00","Shell Plc Adr (Representing - )"
"1998-02-04","1005","SHEL","617061541820.00","Shell Plc Adr (Representing - )"
"1998-02-05","1005","SHEL","621394674681.00","Shell Plc Adr (Representing - )"
"1998-02-06","1005","SHEL","623619796962.00","Shell Plc Adr (Representing - )"
"1998-02-09","1005","SHEL","621394674681.00","Shell Plc Adr (Representing - )"
"1998-02-10","1005","SHEL","623619796962.00","Shell Plc Adr (Representing - )"
"1998-02-11","1005","SHEL","621394674681.00","Shell Plc Adr (Representing - )"
"1998-02-12","1005","SHEL","611205956872.00","Shell Plc Adr (Representing - )"
"1998-02-13","1005","SHEL","605350371924.00","Shell Plc Adr (Representing - )"
"1998-02-17","1005","SHEL","608980834592.00","Shell Plc Adr (Representing - )"
"1998-02-18","1005","SHEL","614836419540.00","Shell Plc Adr (Representing - )"
"1998-02-19","1005","SHEL","604647701730.00","Shell Plc Adr (Representing - )"
"1998-02-20","1005","SHEL","617061541820.00","Shell Plc Adr (Representing - )"
"1998-02-23","1005","SHEL","597972334889.00","Shell Plc Adr (Representing - )"
"1998-02-24","1005","SHEL","605350371924.00","Shell Plc Adr (Representing - )"
"1998-02-25","1005","SHEL","614133749346.00","Shell Plc Adr (Representing - )"
"1998-02-26","1005","SHEL","630997833996.00","Shell Plc Adr (Representing - )"
"1998-02-27","1005","SHEL","636033637051.00","Shell Plc Adr (Representing - )"
"1998-03-02","1005","SHEL","638961429525.00","Shell Plc Adr (Representing - )"
"1998-03-03","1005","SHEL","643411674086.00","Shell Plc Adr (Representing - )"
"1998-03-04","1005","SHEL","636033637051.00","Shell Plc Adr (Representing - )"
"1998-03-05","1005","SHEL","634628296664.00","Shell Plc Adr (Representing - )"
"1998-03-06","1005","SHEL","637556089138.00","Shell Plc Adr (Representing - )"
"1998-03-09","1005","SHEL","623619796962.00","Shell Plc Adr (Representing - )"
"1998-03-10","1005","SHEL","626547589436.00","Shell Plc Adr (Representing - )"
"1998-03-11","1005","SHEL","630997833996.00","Shell Plc Adr (Representing - )"
"1998-03-12","1005","SHEL","631700504190.00","Shell Plc Adr (Representing - )"
"1998-03-13","1005","SHEL","636033637051.00","Shell Plc Adr (Representing - )"
"1998-03-16","1005","SHEL","644817014473.00","Shell Plc Adr (Representing - )"
"1998-03-17","1005","SHEL","631700504190.00","Shell Plc Adr (Representing - )"
"1998-03-18","1005","SHEL","632403174384.00","Shell Plc Adr (Representing - )"
"1998-03-19","1005","SHEL","644114344280.00","Shell Plc Adr (Representing - )"
"1998-03-20","1005","SHEL","667536684072.00","Shell Plc Adr (Representing - )"
"1998-03-23","1005","SHEL","682175646442.00","Shell Plc Adr (Representing - )"
"1998-03-24","1005","SHEL","679247853968.00","Shell Plc Adr (Representing - )"
"1998-03-25","1005","SHEL","670464476546.00","Shell Plc Adr (Representing - )"
"1998-03-26","1005","SHEL","672689598826.00","Shell Plc Adr (Representing - )"
"1998-03-27","1005","SHEL","673392269020.00","Shell Plc Adr (Representing - )"
