"date","SP500_total_market_cap"
"1998-01-02","7516608886484.18"
"1998-01-05","7525178454084.50"
"1998-01-06","7441984903222.60"
"1998-01-07","7442498069106.06"
"1998-01-08","7368163158699.72"
"1998-01-09","7182539877114.51"
"1998-01-12","7234678715149.42"
"1998-01-13","7316035907524.88"
"1998-01-14","7347437669788.39"
"1998-01-15","7289717609966.67"
"1998-01-16","7371639099953.06"
"1998-01-19","8845937579.85"
"1998-01-20","7482361044411.73"
"1998-01-21","7441703771984.53"
"1998-01-22","7375742266923.99"
"1998-01-23","7334271149466.66"
"1998-01-26","7354221090028.73"
"1998-01-27","7448679375655.47"
"1998-01-28","7502477279064.04"
"1998-01-29","7551340691124.77"
"1998-01-30","7509409260749.25"
"1998-02-02","7665187747884.20"
"1998-02-03","7695249795405.94"
"1998-02-04","7702984279503.35"
"1998-02-05","7695255318768.92"
"1998-02-06","7751949387033.53"
"1998-02-09","7741622469904.12"
"1998-02-10","7793592263434.03"
"1998-02-11","7801259723996.77"
"1998-02-12","7791258090215.62"
"1998-02-13","7759941104818.11"
"1998-02-17","7796028786242.14"
"1998-02-18","7859306941088.44"
"1998-02-19","7831087942292.67"
"1998-02-20","7882291652000.86"
"1998-02-23","7892795471464.29"
"1998-02-24","7862165342909.88"
"1998-02-25","7944503812455.24"
"1998-02-26","7993869641302.21"
"1998-02-27","8001221680385.69"
"1998-03-02","7997455490846.56"
"1998-03-03","8031933175950.42"
"1998-03-04","7983506258718.35"
"1998-03-05","7927833335072.03"
"1998-03-06","8049872385698.33"
"1998-03-09","8036237754755.43"
"1998-03-10","8110747268969.56"
"1998-03-11","8169131788006.94"
"1998-03-12","8177372326032.23"
"1998-03-13","8178432318969.40"
"1998-03-16","8252839179145.32"
"1998-03-17","8255239137019.02"
"1998-03-18","8287629527126.52"
"1998-03-19","8322201873835.49"
"1998-03-20","8406257615320.17"
"1998-03-23","8404747755692.42"
"1998-03-24","8456729185938.96"
"1998-03-25","8430813840737.63"
"1998-03-26","8423312970055.74"
"1998-03-27","8395576345227.96"
"1998-03-30","8468883415756.71"
"1998-03-31","8558079572864.23"
"1998-04-01","8624635770431.69"
"1998-04-02","8695804507300.79"
"1998-04-03","8713982667554.20"
"1998-04-06","8725834786461.59"
"1998-04-07","8618791498281.11"
"1998-04-08","8539070601841.96"
"1998-04-09","8599238528947.41"
"1998-04-13","8589569605360.74"
"1998-04-14","8638948741852.33"
"1998-04-15","8651874225935.99"
"1998-04-16","8577055005646.23"
"1998-04-17","8667335067812.96"
"1998-04-20","8674948536765.79"
"1998-04-21","8721001346251.37"
"1998-04-22","8730486783082.92"
"1998-04-23","8649394677503.81"
"1998-04-24","8582846507491.57"
"1998-04-27","8438416213443.70"
"1998-04-28","8448649144754.07"
"1998-04-29","8493718936252.96"
"1998-04-30","8610951211142.17"
"1998-05-01","8685299652068.93"
"1998-05-04","8694102648275.40"
"1998-05-05","8640989481627.39"
"1998-05-06","8572471507741.02"
"1998-05-07","8509385372575.05"
"1998-05-08","8600219004475.37"
"1998-05-11","8579129944649.69"
"1998-05-12","8646695028534.77"
"1998-05-13","8667376397828.44"
"1998-05-14","8653593961093.75"
"1998-05-15","8593374460328.32"
"1998-05-18","8566694613486.01"
"1998-05-19","8603818588210.56"
"1998-05-20","8652202908136.30"
"1998-05-21","8621371633649.46"
"1998-05-22","8593203908121.31"
"1998-05-26","8472450725760.40"
"1998-05-27","8472775221354.28"
"1998-05-28","8508705073729.35"
"1998-05-29","8456917657593.59"
"1998-06-01","8476092521962.70"
"1998-06-02","8486210124839.52"
"1998-06-03","8418790881965.16"
"1998-06-04","8510750207966.41"
"1998-06-05","8634185728925.56"
"1998-06-08","8626141463212.15"
"1998-06-09","8641160393740.50"
"1998-06-10","8596327322673.69"
"1998-06-11","8518980951952.29"
"1998-06-12","8541981000276.44"
"1998-06-15","8389376527762.92"
"1998-06-16","8468054723355.94"
"1998-06-17","8595301603997.72"
"1998-06-18","8586572105704.28"
"1998-06-19","8544779763676.47"
"1998-06-22","8579764782721.22"
"1998-06-23","8691506838474.76"
"1998-06-24","8794736081916.43"
"1998-06-25","8774772555191.78"
"1998-06-26","8811199571615.62"
"1998-06-29","8866407013361.94"
"1998-06-30","8885151895430.24"
"1998-07-01","8962093679535.60"
"1998-07-02","8956463254284.36"
"1998-07-06","9031880652055.19"
"1998-07-07","9004291630504.10"
"1998-07-08","9071100726697.75"
"1998-07-09","9030358311921.73"
"1998-07-10","9068670176563.39"
"1998-07-13","9069556868233.80"
"1998-07-14","9151695611034.08"
"1998-07-15","9136312449517.21"
"1998-07-16","9200900166991.03"
"1998-07-17","9209216346085.81"
"1998-07-20","9187079641088.36"
"1998-07-21","9054305693224.64"
"1998-07-22","9059877493192.56"
"1998-07-23","8880739361192.05"
"1998-07-24","8889140683388.46"
"1998-07-27","8917642264233.20"
"1998-07-28","8801047730362.98"
"1998-07-29","8768639195983.50"
"1998-07-30","8883254539646.05"
"1998-07-31","8726801614770.69"
"1998-08-03","8638732716236.89"
"1998-08-04","8400623608856.17"
"1998-08-05","8436697147438.91"
"1998-08-06","8442954072884.62"
"1998-08-07","8464511553604.93"
"1998-08-10","8426174453529.68"
"1998-08-11","8349187700160.53"
"1998-08-12","8420426463960.29"
"1998-08-13","8363247938905.45"
"1998-08-14","8280961848180.59"
"1998-08-17","8435239718617.84"
"1998-08-18","8556578699736.24"
"1998-08-19","8542938032372.79"
"1998-08-20","8487508241146.54"
"1998-08-21","8418279520319.20"
"1998-08-24","8438538240155.54"
"1998-08-25","8468435544845.38"
"1998-08-26","8403029777063.98"
"1998-08-27","8133936937991.82"
"1998-08-28","8003221273892.15"
"1998-08-31","7504700787260.27"
"1998-09-01","7770482323326.48"
"1998-09-02","7749362614665.62"
"1998-09-03","7705129401325.66"
"1998-09-04","7686664195157.35"
"1998-09-08","8025113751981.17"
"1998-09-09","7895297274445.27"
"1998-09-10","7750288619217.13"
"1998-09-11","7935571965643.01"
"1998-09-14","8096325418711.41"
"1998-09-15","8166849504436.29"
"1998-09-16","8142904462839.26"
"1998-09-17","7966720147089.98"
"1998-09-18","7934897322071.64"
"1998-09-21","7992704639554.64"
"1998-09-22","8037461438585.08"
"1998-09-23","8290692225596.61"
"1998-09-24","8131772901840.82"
"1998-09-25","8151852414190.70"
"1998-09-28","8182098678869.03"
"1998-09-29","8188950139662.00"
"1998-09-30","8025388679695.18"
"1998-10-01","7845962406282.12"
"1998-10-02","7919234479486.25"
"1998-10-05","7829307780190.97"
"1998-10-06","7840923042243.33"
"1998-10-07","7744494375226.27"
"1998-10-08","7656011929940.11"
"1998-10-09","7788697404260.79"
"1998-10-12","7890468048845.52"
"1998-10-13","7899589559002.97"
"1998-10-14","8000092804380.85"
"1998-10-15","8275300632585.93"
