date_range_start,date_range_end,number_of_constituents
2025-12-22,2026-01-01,503
2025-12-11,2025-12-21,503
2025-11-28,2025-12-10,503
2025-11-04,2025-11-27,503
2025-10-31,2025-11-03,503
2025-09-21,2025-10-30,503
2025-08-27,2025-09-20,503
2025-07-22,2025-08-26,503
2025-07-17,2025-07-21,503
2025-07-08,2025-07-16,503
2025-05-18,2025-07-07,503
2025-03-23,2025-05-17,503
2024-12-22,2025-03-22,503
2024-11-25,2024-12-21,503
2024-10-30,2024-11-24,503
2024-09-23,2024-10-29,503
2024-07-05,2024-09-22,503
2024-06-24,2024-07-04,503
2024-05-08,2024-06-23,503
2024-04-02,2024-05-07,505
2024-04-01,2024-04-01,503
2024-03-15,2024-03-31,503
2023-12-15,2024-03-14,503
2023-10-17,2023-12-14,503
2023-10-02,2023-10-16,504
2023-09-29,2023-10-01,503
2023-09-15,2023-09-28,503
2023-08-24,2023-09-14,503
2023-06-20,2023-08-23,503
2023-05-03,2023-06-19,503
2023-03-17,2023-05-02,503
2023-03-14,2023-03-16,503
2023-01-05,2023-03-13,504
2023-01-03,2023-01-04,503
2022-12-21,2023-01-02,503
2022-12-20,2022-12-20,503
2022-12-19,2022-12-19,504
2022-12-15,2022-12-18,503
2022-10-31,2022-12-14,503
2022-10-11,2022-10-30,503
2022-09-30,2022-10-10,503
2022-09-16,2022-09-29,503
2022-06-17,2022-09-15,504
2022-06-07,2022-06-16,504
2022-04-11,2022-06-06,505
2022-04-01,2022-04-10,505
2022-03-01,2022-03-31,504
2022-02-25,2022-02-28,505
2022-02-14,2022-02-24,505
2022-02-02,2022-02-13,505
2021-12-17,2022-02-01,505
2021-12-13,2021-12-16,505
2021-09-17,2021-12-12,505
2021-08-27,2021-09-16,506
2021-07-20,2021-08-26,506
2021-06-03,2021-07-19,507
2021-06-02,2021-06-02,506
2021-05-13,2021-06-01,506
2021-04-19,2021-05-12,506
2021-03-19,2021-04-18,506
2021-02-11,2021-03-18,506
2021-01-20,2021-02-10,506
2021-01-06,2021-01-19,506
2020-12-18,2021-01-05,506
2020-10-09,2020-12-17,507
2020-10-08,2020-10-08,506
2020-10-06,2020-10-07,506
2020-09-18,2020-10-05,506
2020-06-19,2020-09-17,507
2020-05-21,2020-06-18,507
2020-05-11,2020-05-20,507
2020-04-06,2020-05-10,509
2020-04-02,2020-04-05,507
2020-03-02,2020-04-01,507
2020-01-27,2020-03-01,507
2019-12-20,2020-01-26,507
2019-12-06,2019-12-19,507
2019-12-04,2019-12-05,507
2019-11-20,2019-12-03,507
2019-10-02,2019-11-19,507
2019-09-25,2019-10-01,507
2019-09-20,2019-09-24,507
2019-08-08,2019-09-19,507
2019-07-12,2019-08-07,508
2019-06-28,2019-07-11,508
2019-06-06,2019-06-27,508
2019-06-03,2019-06-05,508
2019-05-31,2019-06-02,508
2019-04-02,2019-05-30,509
2019-04-01,2019-04-01,508
2019-02-26,2019-03-31,508
2019-02-14,2019-02-25,508
2019-01-17,2019-02-13,508
2018-12-31,2019-01-16,508
2018-12-21,2018-12-30,508
2018-11-30,2018-12-20,508
2018-11-12,2018-11-29,508
2018-11-05,2018-11-11,508
2018-10-10,2018-11-04,508
2018-09-28,2018-10-09,508
2018-09-14,2018-09-27,508
2018-08-27,2018-09-13,508
2018-06-29,2018-08-26,508
2018-06-19,2018-06-28,508
2018-06-15,2018-06-18,508
2018-06-06,2018-06-14,508
2018-06-04,2018-06-05,508
2018-05-30,2018-06-03,508
2018-04-03,2018-05-29,508
2018-03-19,2018-04-02,509
2018-03-06,2018-03-18,509
2018-01-02,2018-03-05,508
2017-12-28,2018-01-01,509
2017-10-12,2017-12-27,509
2017-09-18,2017-10-11,509
2017-09-01,2017-09-17,509
2017-08-31,2017-08-31,509
2017-08-28,2017-08-30,509
2017-08-08,2017-08-27,508
2017-08-07,2017-08-07,509
2017-07-25,2017-08-06,509
2017-06-19,2017-07-24,509
2017-06-01,2017-06-18,509
2017-04-04,2017-05-31,509
2017-04-03,2017-04-03,509
2017-03-20,2017-04-02,509
2017-03-19,2017-03-19,509
2017-03-15,2017-03-18,509
2017-03-13,2017-03-14,509
2017-03-01,2017-03-12,509
2017-02-28,2017-02-28,509
2017-02-27,2017-02-27,509
2017-01-04,2017-02-26,509
2016-12-01,2017-01-03,510
2016-11-01,2016-11-30,510
2016-09-30,2016-10-31,510
2016-09-22,2016-09-29,510
2016-09-07,2016-09-21,510
2016-09-06,2016-09-06,511
2016-07-05,2016-09-05,512
2016-07-01,2016-07-04,511
2016-06-30,2016-06-30,511
2016-06-23,2016-06-29,511
2016-06-02,2016-06-22,511
2016-05-27,2016-06-01,511
2016-05-20,2016-05-26,511
2016-05-17,2016-05-19,511
2016-05-12,2016-05-16,511
2016-05-02,2016-05-11,511
2016-04-22,2016-05-01,511
2016-04-15,2016-04-21,511
2016-04-14,2016-04-14,510
2016-04-01,2016-04-13,510
2016-03-29,2016-03-31,510
2016-03-04,2016-03-28,510
2016-03-03,2016-03-03,510
2016-02-19,2016-03-02,510
2016-01-29,2016-02-18,510
2016-01-15,2016-01-28,510
2016-01-04,2016-01-14,510
2015-12-28,2016-01-03,510
2015-12-11,2015-12-27,511
2015-11-30,2015-12-10,511
2015-11-18,2015-11-29,511
2015-11-17,2015-11-17,511
2015-11-02,2015-11-16,511
2015-10-07,2015-11-01,511
2015-09-18,2015-10-06,509
2015-09-02,2015-09-17,509
2015-08-28,2015-09-01,509
2015-07-28,2015-08-27,509
2015-07-17,2015-07-27,509
2015-07-08,2015-07-16,509
2015-07-01,2015-07-07,509
2015-06-30,2015-06-30,509
2015-06-11,2015-06-29,509
2015-04-06,2015-06-10,509
2015-03-20,2015-04-05,509
2015-03-17,2015-03-19,509
2015-03-11,2015-03-16,509
2015-01-26,2015-03-10,509
2014-12-04,2015-01-25,509
2014-11-04,2014-12-03,509
2014-09-19,2014-11-03,509
2014-08-18,2014-09-18,509
2014-08-06,2014-08-17,508
2014-07-01,2014-08-05,508
2014-06-30,2014-06-30,508
2014-06-20,2014-06-29,508
2014-05-07,2014-06-19,508
2014-05-01,2014-05-06,508
2014-04-30,2014-04-30,508
2014-04-03,2014-04-29,507
2014-04-01,2014-04-02,507
2014-03-21,2014-03-31,507
2014-01-23,2014-03-20,507
2013-12-20,2014-01-22,507
2013-12-09,2013-12-19,507
2013-11-29,2013-12-08,507
2013-11-12,2013-11-28,507
2013-10-28,2013-11-11,507
2013-09-20,2013-10-27,507
2013-09-10,2013-09-19,507
2013-07-08,2013-09-09,507
2013-06-28,2013-07-07,507
2013-06-21,2013-06-27,507
2013-06-06,2013-06-20,507
2013-05-23,2013-06-05,507
2013-05-08,2013-05-22,507
2013-04-30,2013-05-07,507
2013-02-13,2013-04-29,507
2013-01-01,2013-02-12,507
2012-12-21,2013-12-31,507
2012-12-11,2012-12-20,507
2012-11-30,2012-12-10,507
2012-10-04,2012-11-29,507
2012-10-01,2012-10-03,507
2012-09-28,2012-09-30,507
2012-09-04,2012-09-27,507
2012-07-30,2012-09-03,507
2012-06-29,2012-07-29,507
2012-06-28,2012-06-28,507
2012-06-05,2012-06-27,507
2012-05-24,2012-06-04,507
2012-04-30,2012-05-23,507
2012-04-03,2012-04-29,507
2012-03-13,2012-04-02,507
2011-12-30,2012-03-12,507
2011-12-20,2011-12-29,507
2011-12-16,2011-12-19,507
2011-11-22,2011-12-15,507
2011-10-31,2011-11-21,507
2011-10-14,2011-10-30,507
2011-09-23,2011-10-13,507
2011-07-05,2011-09-22,507
2011-06-30,2011-07-04,507
2011-06-01,2011-06-29,507
2011-04-27,2011-05-31,507
2011-04-01,2011-04-26,507
2011-03-31,2011-03-31,507
2011-02-28,2011-03-30,507
2011-02-25,2011-02-27,507
2011-01-14,2011-02-24,507
2011-01-03,2011-01-13,507
2010-12-17,2011-01-02,507
