Date,Closing Index Value,Total Market Capitalization
1998-01-02,975.04,8261240230808.56
1998-01-05,977.07,8278439850997.01
1998-01-06,966.58,8189561025491.2
1998-01-07,964.0,8167701409685.2
1998-01-08,956.05,8100343291213.21
1998-01-09,927.69,7860056971733.26
1998-01-12,939.21,7957662698122.86
1998-01-13,952.12,8067045504345.92
1998-01-14,957.94,8116356730699.0
1998-01-15,950.73,8055268424512.45
1998-01-16,961.51,8146604338616.61
1998-01-20,978.6,8291403111533.12
1998-01-21,970.81,8225400628149.88
1998-01-22,963.04,8159567599152.73
1998-01-23,957.59,8113391278942.37
1998-01-26,956.95,8107968738587.39
1998-01-27,969.02,8210234460594.55
1998-01-28,977.46,8281744211525.82
1998-01-29,985.49,8349780147542.18
1998-01-30,980.28,8305637279964.94
1998-02-02,1001.27,8483479658169.6
1998-02-03,1006.0,8523555620480.61
1998-02-04,1006.9,8531181067854.8
1998-02-05,1003.54,8502712730991.16
1998-02-06,1012.46,8578289387188.66
1998-02-09,1010.74,8563716309984.66
1998-02-10,1019.01,8633785698634.14
1998-02-11,1020.01,8642258417938.79
1998-02-12,1024.14,8677250748667.01
1998-02-13,1020.09,8642936235483.16
1998-02-17,1022.76,8665558396026.59
1998-02-18,1032.08,8744524139945.95
1998-02-19,1028.28,8712327806588.27
1998-02-20,1034.21,8762571032064.86
1998-02-23,1038.14,8795868818932.15
1998-02-24,1030.56,8731645606602.88
1998-02-25,1042.9,8836198962822.29
1998-02-26,1048.67,8885086553210.14
1998-02-27,1049.34,8890763275144.26
1998-03-02,1047.7,8876868015484.62
1998-03-03,1052.02,8913470162880.72
1998-03-04,1047.33,8873733109341.9
1998-03-05,1035.05,8769688116280.77
1998-03-06,1055.69,8944565042728.8
1998-03-09,1052.31,8915927251479.07
1998-03-10,1064.25,9017091519976.63
1998-03-11,1068.47,9052846395442.26
1998-03-12,1069.92,9065131838434.01
1998-03-13,1068.61,9054032576144.91
1998-03-16,1079.27,9144351763932.51
1998-03-17,1080.45,9154349572712.0
1998-03-18,1085.52,9197306259586.59
1998-03-19,1089.74,9233061135052.22
1998-03-20,1099.16,9312874150902.05
1998-03-23,1095.55,9282287634212.26
1998-03-24,1105.65,9367862099189.25
1998-03-25,1101.93,9336343583375.94
1998-03-26,1100.8,9326769410561.68
1998-03-27,1095.44,9281355635088.75
1998-03-30,1093.55,9265342195602.95
1998-03-31,1101.75,9334818493901.1
1998-04-01,1108.15,9389043897450.88
1998-04-02,1120.01,9489530348404.06
1998-04-03,1122.7,9512321963333.58
