"Date","Price","Open","High","Low","Vol.","Change %"
"07/02/2015","88.19","88.00","89.54","87.51","3.95M","-0.12%"
"07/01/2015","88.30","85.49","88.36","85.29","3.08M","3.71%"
"06/30/2015","85.14","86.42","87.06","85.14","4.52M","-0.62%"
"06/29/2015","85.67","86.51","86.94","85.62","2.63M","-1.51%"
"06/26/2015","86.98","87.72","88.00","86.45","4.69M","-0.84%"
"06/25/2015","87.72","87.49","89.34","87.42","3.41M","0.48%"
"06/24/2015","87.30","87.80","87.80","86.50","3.84M","-0.46%"
"06/23/2015","87.70","87.86","88.00","87.30","2.92M","0.14%"
"06/22/2015","87.58","87.70","87.99","87.08","2.82M","0.44%"
"06/19/2015","87.20","86.76","87.93","86.66","5.91M","0.43%"
"06/18/2015","86.83","85.79","87.62","85.67","4.56M","1.60%"
"06/17/2015","85.46","85.20","85.72","84.72","2.83M","0.31%"
"06/16/2015","85.20","84.82","85.21","84.38","1.75M","0.52%"
"06/15/2015","84.76","84.26","85.19","84.25","3.23M","0.07%"
"06/12/2015","84.70","84.44","85.28","84.25","3.21M","0.22%"
"06/11/2015","84.51","84.21","85.29","84.08","2.49M","0.20%"
"06/10/2015","84.34","83.96","84.65","83.57","2.13M","0.39%"
"06/09/2015","84.01","83.67","84.71","83.38","2.41M","0.79%"
"06/08/2015","83.35","83.48","83.90","82.85","3.67M","-0.02%"
"06/05/2015","83.37","83.18","84.20","82.94","2.63M","-0.29%"
"06/04/2015","83.61","83.84","84.25","83.27","1.93M","-0.77%"
"06/03/2015","84.26","84.39","84.77","83.88","4.06M","-0.08%"
"06/02/2015","84.33","84.00","84.57","83.90","3.07M","0.07%"
"06/01/2015","84.27","84.54","84.72","84.00","1.72M","-0.21%"
"05/29/2015","84.45","84.85","84.93","84.22","2.04M","-0.81%"
"05/28/2015","85.14","84.20","85.22","84.06","1.82M","0.96%"
"05/27/2015","84.33","85.25","85.50","84.26","2.83M","-0.79%"
"05/26/2015","85.00","84.93","85.30","84.29","2.90M","0.00%"
"05/22/2015","85.00","85.57","85.74","84.95","1.28M","-0.87%"
"05/21/2015","85.75","85.27","85.78","84.59","2.33M","0.35%"
