Date,Stock Close Price,,Date,Stock Close Price
Please note that these closing prices reflect the Cumulative Split-Adjusted Price.,,,,
1/2/1998,10.6182,,3/11/1998,15.8499
1/5/1998,10.9278,,3/12/1998,15.6023
1/6/1998,10.951,,3/13/1998,15.6487
1/7/1998,10.6801,,3/16/1998,15.7416
1/8/1998,10.6724,,3/17/1998,15.432
1/9/1998,10.3009,,3/18/1998,15.6642
1/12/1998,10.7807,,3/19/1998,16.0357
1/13/1998,11.1058,,3/20/1998,15.463
1/14/1998,11.3147,,3/23/1998,15.4165
1/15/1998,11.3457,,3/24/1998,16.2833
1/16/1998,11.485,,3/25/1998,16.8251
1/20/1998,11.5314,,3/26/1998,16.9953
1/21/1998,11.6707,,3/27/1998,16.7167
1/22/1998,11.454,,3/30/1998,16.6393
1/23/1998,11.7404,,3/31/1998,16.7786
1/26/1998,11.7172,,4/1/1998,16.9644
1/27/1998,12.0732,,4/2/1998,16.8715
1/28/1998,12.0268,,4/3/1998,16.6858
1/29/1998,12.2125,,4/6/1998,16.1595
1/30/1998,12.3131,,4/7/1998,15.6332
2/2/1998,12.9477,,4/8/1998,16.5774
2/3/1998,13.1335,,4/9/1998,16.7632
2/4/1998,13.3269,,4/13/1998,16.7554
2/5/1998,13.2495,,4/14/1998,16.9953
2/6/1998,13.4817,,4/15/1998,16.8096
2/9/1998,13.3889,,4/16/1998,16.7477
2/10/1998,13.7294,,4/17/1998,16.7167
2/11/1998,13.652,,4/20/1998,17.2585
Please note that these closing prices reflect the Cumulative Split-Adjusted Price.,,,,
4/21/1998,18.4193,,6/25/1998,22.7843
4/22/1998,19.1778,,6/26/1998,22.8771
4/23/1998,18.636,,6/29/1998,23.3105
4/24/1998,18.8992,,6/30/1998,22.9855
4/27/1998,18.4039,,7/1/1998,23.2641
4/28/1998,18.8373,,7/2/1998,23.001
4/29/1998,19.2242,,7/6/1998,22.7224
4/30/1998,19.9982,,7/7/1998,22.5366
5/1/1998,20.8185,,7/8/1998,23.8678
5/4/1998,21.7937,,7/9/1998,24.7346
5/5/1998,21.7163,,7/10/1998,24.9667
5/6/1998,21.6543,,7/13/1998,26.2979
5/7/1998,21.4531,,7/14/1998,26.592
5/8/1998,22.7224,,7/15/1998,27.7064
5/11/1998,22.3818,,7/16/1998,28.1708
5/12/1998,23.3725,,7/17/1998,29.115
5/13/1998,24.3321,,7/20/1998,28.728
5/14/1998,23.5892,,7/21/1998,27.4588
5/15/1998,22.289,,7/22/1998,27.1028
5/18/1998,23.4034,,7/23/1998,26.0967
5/19/1998,23.4266,,7/24/1998,25.9728
5/20/1998,22.7224,,7/27/1998,27.304
5/21/1998,21.5615,,7/28/1998,26.8087
5/22/1998,21.2055,,7/29/1998,26.592
5/26/1998,20.7876,,7/30/1998,27.9231
5/27/1998,21.3293,,7/31/1998,26.8938
5/28/1998,20.9578,,8/3/1998,27.0408
5/29/1998,20.4083,,8/4/1998,26.205
6/1/1998,19.3945,,8/5/1998,26.4372
6/2/1998,20.4625,,8/6/1998,26.7003
6/3/1998,19.8743,,8/7/1998,26.561
6/4/1998,20.9269,,8/10/1998,27.304
6/5/1998,20.9423,,8/11/1998,26.3134
6/8/1998,20.7256,,8/12/1998,26.6384
6/9/1998,21.1745,,8/13/1998,26.3753
6/10/1998,20.7256,,8/14/1998,26.1586
6/11/1998,20.478,,8/17/1998,27.3814
6/12/1998,20.5244,,8/18/1998,27.1337
6/15/1998,19.8743,,8/19/1998,29.2078
6/16/1998,21.0429,,8/20/1998,30.2449
6/17/1998,21.2209,,8/21/1998,29.0995
6/18/1998,20.9578,,8/24/1998,29.5019
6/19/1998,20.9888,,8/25/1998,30.7092
6/22/1998,21.7627,,8/26/1998,31.8546
6/23/1998,23.0629,,8/27/1998,30.9724
6/24/1998,23.0938,,8/28/1998,29.409
Please note that these closing prices reflect the Cumulative Split-Adjusted Price.,,,,
8/31/1998,24.7655,,11/4/1998,32.3809
9/1/1998,26.8396,,11/5/1998,32.4738
9/2/1998,27.304,,11/6/1998,32.5357
9/3/1998,26.7622,,11/9/1998,34.1764
9/4/1998,27.1182,,11/10/1998,34.8265
9/8/1998,29.6877,,11/11/1998,35.6314
9/9/1998,28.2946,,11/12/1998,34.2693
9/10/1998,27.1182,,11/13/1998,31.6689
9/11/1998,28.4494,,11/16/1998,31.2974
9/14/1998,29.2543,,11/17/1998,31.8546
9/15/1998,29.6567,,11/18/1998,31.6379
9/16/1998,29.7496,,11/19/1998,31.2355
9/17/1998,28.7899,,11/20/1998,31.8856
9/18/1998,28.6661,,11/23/1998,32.6286
9/21/1998,29.6877,,11/24/1998,32.1333
9/22/1998,29.7496,,11/25/1998,31.9475
9/23/1998,31.8856,,11/27/1998,31.607
9/24/1998,31.3593,,11/30/1998,30.1211
9/25/1998,32.7214,,12/1/1998,32.1023
9/28/1998,33.7121,,12/2/1998,32.7833
9/29/1998,33.5882,,12/3/1998,31.6379
9/30/1998,32.5666,,12/4/1998,32.6905
10/1/1998,30.4925,,12/7/1998,33.4954
10/2/1998,31.0498,,12/8/1998,33
10/5/1998,28.5732,,12/9/1998,33.743
10/6/1998,27.3968,,12/10/1998,33.3406
10/7/1998,25.0441,,12/11/1998,33.2787
10/8/1998,23.9916,,12/14/1998,32.0713
10/9/1998,26.1586,,12/15/1998,32.4738
10/12/1998,27.7683,,12/16/1998,31.7308
10/13/1998,26.2514,,12/17/1998,32.5976
10/14/1998,26.1276,,12/18/1998,33.6192
10/15/1998,28.759,,12/21/1998,35.6314
10/16/1998,28.0779,,12/22/1998,35.6004
10/19/1998,28.3565,,12/23/1998,37.365
10/20/1998,26.4062,,12/24/1998,36.9316
10/21/1998,28.2017,,12/28/1998,37.0244
10/22/1998,29.1614,,12/29/1998,36.9316
10/23/1998,28.8518,,12/30/1998,36.2815
10/26/1998,30.9569,,12/31/1998,36.2505
10/27/1998,30.9569,,1/4/1999,36.7458
10/28/1998,32.0094,,1/5/1999,37.2721
10/29/1998,32.1333,,1/6/1999,38.6961
10/30/1998,32.4428,,1/7/1999,38.7271
11/2/1998,32.7524,,1/8/1999,38.5413
11/3/1998,31.8856,,1/11/1999,40.6154
Please note that these closing prices reflect the Cumulative Split-Adjusted Price.,,,,
1/12/1999,39.8415,,3/19/1999,39.8725
1/13/1999,39.2843,,3/22/1999,37.5198
1/14/1999,38.4485,,3/23/1999,35.3528
1/15/1999,39.1295,,3/24/1999,38.1389
1/19/1999,40.6774,,3/25/1999,37.7674
1/20/1999,42.2562,,3/26/1999,37.5198
1/21/1999,41.6989,,3/29/1999,39.0676
1/22/1999,41.1108,,3/30/1999,39.501
1/25/1999,42.0395,,3/31/1999,40.4916
1/26/1999,43.835,,4/1/1999,40.8012
1/27/1999,43.835,,4/5/1999,43.6492
1/28/1999,46.652,,4/6/1999,46.3734
1/29/1999,49.531,,4/7/1999,46.0019
2/1/1999,53.4935,,4/8/1999,44.5779
2/2/1999,53.8031,,4/9/1999,43.1539
2/3/1999,53.4316,,4/12/1999,41.4203
2/4/1999,50.7074,,4/13/1999,40.0582
2/5/1999,49.7477,,4/14/1999,37.7674
2/8/1999,51.5432,,4/15/1999,39.4391
2/9/1999,48.4475,,4/16/1999,37.8912
2/10/1999,48.0451,,4/19/1999,35.1051
2/11/1999,50.4597,,4/20/1999,37.8293
2/12/1999,44.516,,4/21/1999,38.077
2/16/1999,43.9588,,4/22/1999,41.4822
2/17/1999,40.3987,,4/23/1999,42.5967
2/18/1999,41.1108,,4/26/1999,44.3922
2/19/1999,39.6867,,4/27/1999,42.7824
2/22/1999,42.0395,,4/28/1999,41.2346
2/23/1999,43.1229,,4/29/1999,40.6774
2/24/1999,41.2346,,4/30/1999,40.8012
2/25/1999,40.4916,,5/3/1999,41.668
2/26/1999,39.6867,,5/4/1999,40.4297
3/1/1999,39.9034,,5/5/1999,40.925
3/2/1999,38.6652,,5/6/1999,39.0676
3/3/1999,40.0892,,5/7/1999,39.8106
3/4/1999,40.5535,,5/10/1999,41.8537
3/5/1999,42.6276,,5/11/1999,42.2252
3/8/1999,44.9494,,5/12/1999,43.5254
3/9/1999,43.6492,,5/13/1999,42.8443
3/10/1999,42.9063,,5/14/1999,40.8012
3/11/1999,41.4822,,5/17/1999,42.8443
3/12/1999,41.7918,,5/18/1999,43.6492
3/15/1999,43.3396,,5/19/1999,39.4391
3/16/1999,43.9588,,5/20/1999,37.8912
3/17/1999,42.5348,,5/21/1999,36.9625
3/18/1999,41.8537,,5/24/1999,35.7862
Please note that these closing prices reflect the Cumulative Split-Adjusted Price.,,,,
5/25/1999,34.2383,,7/30/1999,40.4916
5/26/1999,34.2383,,8/2/1999,39.5629
5/27/1999,34.1764,,8/3/1999,39.0676
5/28/1999,34.1145,,8/4/1999,38.758
6/1/1999,32.7524,,8/5/1999,38.3865
6/2/1999,33.1858,,8/6/1999,39.4391
6/3/1999,32.8762,,8/9/1999,40.6154
6/4/1999,33.5573,,8/10/1999,40.0582
6/7/1999,35.4147,,8/11/1999,41.8537
6/8/1999,33.6811,,8/12/1999,39.8725
6/9/1999,35.167,,8/13/1999,41.0488
6/10/1999,34.1764,,8/16/1999,41.0488
6/11/1999,33.8668,,8/17/1999,40.7393
6/14/1999,33,,8/18/1999,44.1445
6/15/1999,34.3002,,8/19/1999,43.4635
6/16/1999,35.4766,,8/20/1999,42.8443
6/17/1999,36.1576,,8/23/1999,45.3209
6/18/1999,36.3589,,8/24/1999,45.94
6/21/1999,38.5723,,8/25/1999,48.5404
6/22/1999,37.2102,,8/26/1999,47.4879
6/23/1999,37.9531,,8/27/1999,46.6211
6/24/1999,37.7674,,8/30/1999,45.8781
6/25/1999,36.591,,8/31/1999,48.3547
6/28/1999,36.7149,,9/1/1999,47.426
6/29/1999,36.3434,,9/2/1999,47.2402
6/30/1999,36.653,,9/3/1999,48.9738
7/1/1999,36.2815,,9/7/1999,48.9119
7/2/1999,36.7768,,9/8/1999,47.1783
7/6/1999,36.653,,9/9/1999,48.4166
7/7/1999,37.9531,,9/10/1999,49.0976
7/8/1999,39.5629,,9/13/1999,47.426
7/9/1999,42.4109,,9/14/1999,46.6211
7/12/1999,43.2158,,9/15/1999,46.2496
7/13/1999,41.8537,,9/16/1999,46.3115
7/14/1999,43.092,,9/17/1999,48.4166
7/15/1999,43.5254,,9/20/1999,48.4166
7/16/1999,42.8443,,9/21/1999,46.0639
7/19/1999,42.0395,,9/22/1999,45.6305
7/20/1999,40.7393,,9/23/1999,42.5967
7/21/1999,40.8631,,9/24/1999,43.2777
7/22/1999,39.2533,,9/27/1999,43.6492
7/23/1999,40.6154,,9/28/1999,43.4635
7/26/1999,39.6248,,9/29/1999,42.1633
7/27/1999,41.7299,,9/30/1999,41.4203
7/28/1999,42.349,,10/1/1999,42.1323
7/29/1999,40.8631,,10/4/1999,42.8443
Please note that these closing prices reflect the Cumulative Split-Adjusted Price.,,,,
10/5/1999,43.4016,,12/9/1999,42.349
10/6/1999,42.9063,,12/10/1999,41.1727
10/7/1999,43.9588,,12/13/1999,41.3584
10/8/1999,45.0732,,12/14/1999,40.6774
10/11/1999,45.1351,,12/15/1999,42.7824
10/12/1999,45.0732,,12/16/1999,44.516
10/13/1999,44.0207,,12/17/1999,45.1351
10/14/1999,43.9278,,12/20/1999,47.2402
10/15/1999,42.4109,,12/21/1999,49.2834
