"Date","Price","Open","High","Low","Vol.","Change %"
"03/11/2019","50.53","50.58","50.58","50.36","8.07M","0.16%"
"03/08/2019","50.45","50.45","50.59","50.26","9.31M","-0.28%"
"03/07/2019","50.59","50.59","50.66","50.45","4.66M","-0.10%"
"03/06/2019","50.64","50.62","50.66","50.47","7.34M","0.18%"
"03/05/2019","50.55","50.70","50.70","50.48","10.01M","-0.18%"
"03/04/2019","50.64","50.87","50.87","50.20","12.12M","0.06%"
"03/01/2019","50.61","50.63","50.68","50.40","6.54M","0.36%"
"02/28/2019","50.43","50.46","50.55","50.22","8.69M","0.04%"
"02/27/2019","50.41","50.75","50.79","50.41","10.32M","-0.88%"
"02/26/2019","50.86","50.77","50.87","50.60","10.74M","0.26%"
"02/25/2019","50.73","51.09","51.27","50.62","20.09M","-0.86%"
"02/22/2019","51.17","50.73","51.17","50.64","28.08M","0.89%"
"02/21/2019","50.72","50.63","50.86","50.34","35.82M","-0.10%"
"02/20/2019","50.77","50.65","50.79","50.50","12.87M","0.47%"
"02/19/2019","50.53","50.43","50.63","50.26","8.66M","0.26%"
"02/15/2019","50.40","50.25","50.43","50.06","9.86M","0.80%"
"02/14/2019","50.00","49.57","50.05","49.55","14.40M","0.70%"
"02/13/2019","49.65","49.63","49.76","49.59","7.89M","0.22%"
"02/12/2019","49.54","49.61","49.65","49.50","4.79M","-0.02%"
"02/11/2019","49.55","49.71","49.75","49.50","5.54M","-0.26%"
"02/08/2019","49.68","49.30","49.69","49.30","10.08M","0.36%"
"02/07/2019","49.50","49.30","49.51","49.23","5.42M","0.14%"
"02/06/2019","49.43","49.33","49.49","49.28","7.16M","0.30%"
"02/05/2019","49.28","49.32","49.41","49.23","6.18M","-0.02%"
"02/04/2019","49.29","49.21","49.35","49.16","4.28M","0.00%"
"02/01/2019","49.29","49.30","49.35","49.14","7.51M","-0.04%"
"01/31/2019","49.31","49.07","49.31","49.01","11.52M","0.55%"
